emp_no,first_name,last_name,from_date,to_date
10001,Georgi,Facello,1986-06-26,9999-01-01
10004,Chirstian,Koblick,1986-12-01,1995-12-01
10004,Chirstian,Koblick,1995-12-01,9999-01-01
10009,Sumant,Peac,1985-02-18,1990-02-18
10009,Sumant,Peac,1990-02-18,1995-02-18
10009,Sumant,Peac,1995-02-18,9999-01-01
10018,Kazuhide,Peha,1987-04-03,1995-04-03
10018,Kazuhide,Peha,1995-04-03,9999-01-01
10035,Alain,Chappelet,1988-09-05,1996-09-05
10035,Alain,Chappelet,1996-09-05,9999-01-01
10053,Sanjiv,Zschoche,1994-11-13,9999-01-01
10058,Berhard,McFarlin,1988-04-25,9999-01-01
10066,Kwee,Schusler,1986-02-26,1992-02-26
10066,Kwee,Schusler,1992-02-26,1998-02-25
10066,Kwee,Schusler,1998-02-25,9999-01-01
10067,Claudi,Stavenow,1987-03-04,1996-03-03
10067,Claudi,Stavenow,1996-03-03,9999-01-01
10070,Reuven,Garigliano,1985-10-14,9999-01-01
10072,Hironoby,Sidou,1989-05-21,1995-05-21
10072,Hironoby,Sidou,1995-05-21,9999-01-01
10076,Erez,Ritzmann,1996-07-15,9999-01-01
10088,Jungsoon,Syrzycki,1993-09-02,9999-01-01
10088,Jungsoon,Syrzycki,1988-09-02,1993-09-02
10100,Hironobu,Haraldson,1994-09-21,9999-01-01
10100,Hironobu,Haraldson,1987-09-21,1994-09-21
10103,Akemi,Birch,1998-01-12,9999-01-01
10108,Lunjin,Giveon,1999-03-20,2001-10-20
10116,Dayanand,Czap,1994-02-27,1998-11-01
10126,Kayoko,Valtorta,1991-09-08,9999-01-01
10126,Kayoko,Valtorta,1985-09-08,1991-09-08
10129,Armond,Peir,1996-01-16,9999-01-01
10130,Nishit,Casperson,1988-06-21,9999-01-01
10134,Diederik,Siprelle,1987-12-12,1994-12-12
10134,Diederik,Siprelle,1994-12-12,9999-01-01
10138,Perry,Shimshoni,1992-03-03,2001-03-03
10138,Perry,Shimshoni,2001-03-03,9999-01-01
10149,Xiadong,Perry,1994-01-28,1996-08-27
10150,Zhenbing,Perng,1986-11-16,1995-11-16
10150,Zhenbing,Perng,1995-11-16,9999-01-01
10152,Jaques,Munro,1986-01-27,1987-08-03
10153,Heekeun,Majewski,2000-01-08,9999-01-01
10157,Nigel,Aloisi,1997-12-10,9999-01-01
10161,Hairong,Mellouli,1991-06-09,1994-01-05
10186,Shigehito,Kropatsch,1996-12-25,1997-08-16
10198,Pranav,Furedi,1985-08-31,1993-08-31
10198,Pranav,Furedi,1993-08-31,9999-01-01
10215,Xiaobin,Duclos,1991-11-23,9999-01-01
10217,Yongmin,Roison,1986-05-12,1993-08-05
10224,Leon,Trogemann,1988-01-09,1996-01-09
10224,Leon,Trogemann,1996-01-09,9999-01-01
10229,Ulises,Takanami,1996-02-20,2000-06-30
10233,Lein,Vendrig,2000-04-28,9999-01-01
10233,Lein,Vendrig,1994-04-29,2000-04-28
10258,Basil,Ishibashi,1985-05-17,1991-05-17
10258,Basil,Ishibashi,1991-05-17,1997-05-16
10258,Basil,Ishibashi,1997-05-16,9999-01-01
10272,Yishai,Cannane,1997-10-23,9999-01-01
10282,Hercules,Benzmuller,1996-05-02,2001-05-02
10282,Hercules,Benzmuller,2001-05-02,9999-01-01
10283,Kauko,Birjandi,1988-05-25,1995-05-26
10283,Kauko,Birjandi,1995-05-26,9999-01-01
10286,Saddek,Gopalakrishnan,1994-12-24,1999-01-24
10302,Faiza,Baer,1994-07-22,1999-11-09
10302,Faiza,Baer,1986-07-22,1994-07-22
10305,Hirochika,Piancastelli,1988-10-31,1992-06-02
10326,Masali,Czap,1998-09-02,9999-01-01
10327,Roded,Facello,1987-09-18,1993-05-22
10340,Djelloul,Laventhal,1993-03-30,9999-01-01
10340,Djelloul,Laventhal,1988-03-30,1993-03-30
10347,Pradeep,Kaminger,1998-02-20,9999-01-01
10355,Satyanarayana,Cochrane,1996-01-26,9999-01-01
10356,Vasilis,Standera,1995-06-26,9999-01-01
10363,Toshiki,Muniz,1985-09-11,1993-02-12
10364,Nakhoon,Dengi,1985-11-14,9999-01-01
10372,Anneli,Frijda,1985-07-30,9999-01-01
10387,Parto,Wrigley,1999-01-07,9999-01-01
10387,Parto,Wrigley,1994-01-07,1999-01-07
10395,Takahiro,Deverell,1998-08-10,2001-08-13
10396,Sibyl,Rahier,1986-01-11,9999-01-01
10402,Volkmar,Ebeling,1987-01-02,9999-01-01
10404,Prodip,Rosti,1988-08-28,1996-08-28
10404,Prodip,Rosti,1996-08-28,9999-01-01
10426,Arunas,Luce,1985-07-06,9999-01-01
10429,Martien,Improta,1988-09-23,9999-01-01
10432,Hisao,Tiemann,1996-08-12,9999-01-01
10432,Hisao,Tiemann,1990-08-13,1996-08-12
10442,Volkmar,Unno,1999-02-12,2001-03-13
10442,Volkmar,Unno,1992-02-12,1999-02-12
10451,Bodh,Ranta,1988-03-12,1993-03-12
10451,Bodh,Ranta,1993-03-12,1998-03-12
10451,Bodh,Ranta,1998-03-12,9999-01-01
10453,Tsvetan,Matzel,1993-04-02,9999-01-01
10453,Tsvetan,Matzel,1985-04-02,1993-04-02
10463,Ung,Zaiane,1994-02-17,9999-01-01
10466,Jiakeng,Himler,1997-08-22,2000-08-15
10486,Amstein,Kossowski,1987-10-08,1996-10-07
10486,Amstein,Kossowski,1996-10-07,9999-01-01
10494,Yakkov,Servieres,1991-12-18,2000-12-17
10494,Yakkov,Servieres,2000-12-17,9999-01-01
10504,Xiong,Varker,1999-10-19,9999-01-01
10512,Udi,Gihr,1998-11-28,9999-01-01
10512,Udi,Gihr,1989-11-28,1998-11-28
10519,Yonghoan,Alencar,2000-12-05,2001-10-13
10519,Yonghoan,Alencar,1992-12-05,2000-12-05
10522,Marke,Cesareni,1995-12-12,9999-01-01
10522,Marke,Cesareni,1986-12-12,1995-12-12
10538,Przemyslawa,Falby,1987-07-23,1998-12-13
10541,Godehard,Eiter,1986-02-28,1986-10-01
10548,Ramalingam,Gunderson,1993-07-04,9999-01-01
10548,Ramalingam,Gunderson,1986-07-04,1993-07-04
10564,Jianhao,Thisen,1995-11-23,2000-11-22
10564,Jianhao,Thisen,2000-11-22,9999-01-01
10575,Theirry,Yeung,1988-10-04,2000-11-22
10591,Hidde,Hettesheimer,1987-06-18,1988-09-20
10608,Adhemar,Talmor,1986-05-25,1991-06-02
10617,Hidekazu,Angel,1991-10-30,2001-10-03
10623,Aleksander,Danlos,1992-01-15,1999-01-15
10623,Aleksander,Danlos,1999-01-15,9999-01-01
10628,Krisda,Krogh,1987-03-14,1994-03-14
10628,Krisda,Krogh,1994-03-14,2001-03-14
10628,Krisda,Krogh,2001-03-14,9999-01-01
10629,Lalit,Francisci,1999-10-20,2001-12-07
10631,Inderjeet,Chaudhuri,1994-10-18,9999-01-01
10642,Hirochika,Narlikar,1998-10-05,9999-01-01
10653,Otmar,Feinberg,1987-04-30,9999-01-01
10671,Parviz,Rebaine,2001-09-13,9999-01-01
10671,Parviz,Rebaine,1995-09-14,2001-09-13
10672,Bluma,Zeilberger,1991-09-29,1996-04-19
10676,Valeri,Danley,1999-09-04,9999-01-01
10693,Berhard,Daescu,1991-01-08,9999-01-01
10693,Berhard,Daescu,1986-01-08,1991-01-08
10694,Rildo,Straney,1993-01-25,2001-07-11
10694,Rildo,Straney,1988-01-26,1993-01-25
10702,Bader,Szemeredi,1991-01-14,9999-01-01
10718,Adib,Rullman,1988-07-21,1997-07-21
10718,Adib,Rullman,1997-07-21,9999-01-01
10726,Zita,Minakawa,1992-02-25,2001-02-24
10726,Zita,Minakawa,2001-02-24,9999-01-01
10731,Fumitaka,Peak,1994-02-20,2000-10-09
10731,Fumitaka,Peak,1987-02-20,1994-02-20
10734,Sachar,Erdi,1995-12-19,9999-01-01
10745,Poorav,Ranze,1988-01-23,1997-01-22
10745,Poorav,Ranze,1997-01-22,9999-01-01
10749,King,Brendel,1985-09-26,1990-09-26
10749,King,Brendel,1990-09-26,9999-01-01
10751,Jordanka,Ushiama,1999-12-14,2000-12-05
10767,Monique,Doering,1997-07-15,9999-01-01
10768,Ishfaq,Candan,1985-07-04,1990-07-04
10768,Ishfaq,Candan,1990-07-04,9999-01-01
10777,Mizuhito,Kemmerer,1990-03-17,1996-03-16
10777,Mizuhito,Kemmerer,1996-03-16,2001-03-27
10778,Selwyn,Merey,1986-07-04,9999-01-01
10791,Tadahiko,Sgarro,1988-07-30,1995-07-31
10791,Tadahiko,Sgarro,1995-07-31,9999-01-01
10795,Supot,Naudin,1999-05-03,9999-01-01
10795,Supot,Naudin,1993-05-03,1999-05-03
10803,Katsuyuki,Velasco,1988-04-20,1997-04-20
10803,Katsuyuki,Velasco,1997-04-20,2002-04-02
10808,Chenxi,Leijenhorst,1987-03-07,9999-01-01
10835,Tomoyuki,Kermarrec,1995-08-22,9999-01-01
10836,Jianhua,Leivant,1987-08-10,9999-01-01
10844,Dipayan,Koprowski,1997-04-25,9999-01-01
10847,Theirry,Danley,1992-07-24,9999-01-01
10847,Theirry,Danley,1986-07-25,1992-07-24
10848,Fen,Bratsberg,1985-04-20,1992-04-20
10848,Fen,Bratsberg,1992-04-20,9999-01-01
10867,Billur,Gyorkos,1997-03-23,2002-03-22
10878,Lakshmi,Deville,1997-04-25,9999-01-01
10879,Muzhong,Chleq,1985-08-15,9999-01-01
10883,Shimshon,Champarnaud,1996-12-28,9999-01-01
10895,Vishwani,Petersohn,1986-04-26,1987-04-13
10909,Georgi,Atchley,1993-12-26,2000-12-26
10909,Georgi,Atchley,2000-12-26,9999-01-01
10912,Oscal,Fasbender,1991-04-23,1999-09-26
10912,Oscal,Fasbender,1986-04-23,1991-04-23
10918,Susumu,Reghbati,1990-01-29,1990-10-10
10921,Mara,Bahi,1986-07-27,1995-07-27
10921,Mara,Bahi,1995-07-27,9999-01-01
10924,Hironoby,Atchley,1997-08-14,9999-01-01
10924,Hironoby,Atchley,1988-08-14,1997-08-14
10927,Gal,Scallan,1993-09-12,9999-01-01
10927,Gal,Scallan,1986-09-12,1993-09-12
10936,Mountaz,Schicker,1996-05-08,9999-01-01
10936,Mountaz,Schicker,1990-05-09,1996-05-08
10943,Berna,Skafidas,1993-05-22,1999-05-22
10943,Berna,Skafidas,1999-05-22,9999-01-01
10965,Eckart,Braunschweig,1986-07-29,9999-01-01
10969,Premal,Noriega,1994-05-12,9999-01-01
10974,Muneo,Papsdorf,1999-05-17,9999-01-01
10986,Masako,Schiper,1985-10-11,9999-01-01
